GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Instituto,es.iespuertodelacruz.nefta.exceptions,AulaException,9,0,0,0,4,0,2,0,2,0
Instituto,es.iespuertodelacruz.nefta.exceptions,AlumnoException,9,0,0,0,4,0,2,0,2,0
Instituto,es.iespuertodelacruz.nefta.exceptions,ProfesorException,9,0,0,0,4,0,2,0,2,0
Instituto,es.iespuertodelacruz.nefta.exceptions,NotasException,9,0,0,0,4,0,2,0,2,0
Instituto,es.iespuertodelacruz.nefta.exceptions,FicheroException,9,0,0,0,4,0,2,0,2,0
Instituto,es.iespuertodelacruz.nefta.validaciones,Validar,0,40,0,2,0,9,0,3,0,2
Instituto,es.iespuertodelacruz.nefta,Persona,58,24,10,0,10,9,8,4,3,4
Instituto,es.iespuertodelacruz.nefta,Instituto,113,334,13,21,19,81,13,23,0,19
Instituto,es.iespuertodelacruz.nefta,Nota,6,56,3,5,3,12,4,6,1,5
Instituto,es.iespuertodelacruz.nefta,Alumno,22,41,3,1,7,7,3,4,1,4
Instituto,es.iespuertodelacruz.nefta,Aula,11,65,3,5,4,14,4,7,1,6
Instituto,es.iespuertodelacruz.nefta,Profesor,22,43,3,1,7,7,3,4,1,4
